"gender","age","deep","stra","surf","points","attitude"
"F",53,3.75,3.375,2.58333333333333,25,37
"M",55,2.875,2.75,3.16666666666667,12,31
"F",49,3.875,3.625,2.25,24,25
"M",53,3.5,3.125,2.25,10,35
"M",49,3.75,3.625,2.83333333333333,22,37
"F",38,4.875,3.625,2.41666666666667,21,38
"M",50,4.25,2.25,1.91666666666667,21,35
"F",37,3.5,4,2.83333333333333,31,29
"M",37,4.5,4.25,2.16666666666667,24,38
"F",42,4,3.5,3,26,21
"M",37,3.5,3.625,2.66666666666667,31,39
"F",34,3.75,4.75,2.41666666666667,31,38
"F",34,4.375,3.625,2.25,23,24
"F",34,3.5,3.5,2.75,25,30
"M",35,4.375,1.75,2.33333333333333,21,26
"F",46,3.125,3.125,2.66666666666667,0,25
"F",33,3.5,3.875,2.33333333333333,31,41
"F",32,4.125,1.375,2.91666666666667,20,26
"F",44,3.625,3.25,2.5,22,26
"M",29,4,3,3.75,9,17
"F",30,4.25,3.75,2.75,24,27
"M",27,4,2.625,2.33333333333333,28,39
"M",29,4,2.375,2.41666666666667,30,34
"F",31,4.375,3.625,3,24,27
"F",37,4,2.75,2.41666666666667,9,23
"F",26,3.75,1.75,2.83333333333333,26,37
"F",26,4.5,3.25,3.16666666666667,32,44
"M",30,4.125,4,3,32,41
"F",37,4,2.125,2.16666666666667,0,24
"F",33,3.75,3.625,2,33,37
"F",33,3.25,2.875,3.5,29,25
"M",28,3.5,3,3.75,30,30
"M",26,4.875,1.625,2.5,19,34
"F",27,3.75,3.25,2.08333333333333,23,32
"F",25,3.125,3.5,2.41666666666667,19,20
"F",31,3.625,3,2.58333333333333,12,24
"M",20,4.5,3.25,1.58333333333333,10,42
"F",39,4.25,1.875,2.83333333333333,11,16
"M",38,3.875,4.375,1.83333333333333,20,31
"M",24,3.5,3.625,2.41666666666667,26,38
"M",26,2.75,2.5,3.25,31,38
"M",25,3.125,1.25,3.41666666666667,20,33
"F",30,4.125,4,3.41666666666667,23,17
"F",25,2.875,3,3.16666666666667,12,25
"M",30,3.375,2.5,3.5,24,32
"F",48,4.125,4.875,2.66666666666667,17,35
"F",24,3.875,5,2.41666666666667,29,32
"F",40,4.75,4.375,3.58333333333333,23,42
"M",25,3.875,3.25,2.08333333333333,28,31
"F",23,3.25,4,3.75,31,39
"F",25,4.125,3.125,2.91666666666667,23,19
"F",23,2.75,2.5,2.91666666666667,25,21
"M",27,4.375,3.125,2.41666666666667,18,25
"M",25,3.5,3.25,3,19,32
"M",23,3,2.125,3.41666666666667,22,32
"F",23,4.125,2.75,2.91666666666667,25,26
"F",23,3.125,2.375,3.25,21,23
"F",45,3.625,3.125,3.25,9,38
"F",22,4.125,4,2.33333333333333,28,28
"F",23,3,4,3.25,25,33
"M",21,3.5,2.25,2.5,29,48
"M",21,4.375,3.25,1.75,33,40
"F",21,4.25,3.625,2.25,33,40
"F",21,3.875,3.625,2.08333333333333,25,47
"F",26,3.375,2.5,2.83333333333333,18,23
"F",25,4.5,1.875,2.83333333333333,22,31
"F",26,3.625,2,2.41666666666667,17,27
"M",21,3.625,1.875,2.25,25,41
"F",22,3.5,2.625,2.33333333333333,0,34
"F",23,3.5,4,2.83333333333333,28,34
"F",22,3.75,2.875,2.25,22,25
"F",22,1.625,3.875,1.83333333333333,26,21
"F",22,3.625,2.5,2.91666666666667,11,14
"F",23,4.5,2.75,2.91666666666667,29,19
"M",22,4.375,4.5,2.08333333333333,22,37
"M",25,4.75,3.5,2.66666666666667,0,41
"M",23,4.875,3.375,2.33333333333333,21,32
"M",24,2.875,2.625,2.41666666666667,28,28
"F",22,3.125,4.125,2.75,33,41
"F",23,4,2.625,3.25,16,25
"M",22,4.375,2.25,1.75,31,28
"M",20,3.75,2.75,2.58333333333333,22,38
"M",22,3.375,3,3.33333333333333,31,31
"M",21,4.75,1.625,2.83333333333333,23,35
"F",22,4.375,1.875,2.5,26,36
"F",23,4.25,3.375,2.41666666666667,12,26
"M",21,4.75,3.75,2.41666666666667,26,44
"M",22,3.5,2.125,2.58333333333333,31,45
"M",29,3.625,2.375,3,19,32
"F",26,3.375,1.75,2.33333333333333,0,20
"F",29,3.625,2.75,2,30,39
"F",21,3.5,3.125,3.41666666666667,12,25
"M",28,3.625,3.5,2.83333333333333,17,33
"M",23,4.125,1.625,3.41666666666667,0,35
"F",21,4.25,2.625,2.25,18,33
"F",30,4,3.375,2.75,19,30
"F",21,4.125,2.25,3.91666666666667,21,29
"M",23,3.75,3,2.33333333333333,24,33
"F",21,3.875,4,2.75,28,33
"F",21,4,3.5,2.75,17,35
"F",20,3.5,2.625,2.91666666666667,18,36
"M",21,4.25,2.875,2.66666666666667,0,42
"M",22,4.375,2.5,2.08333333333333,17,37
"F",35,4.625,3.25,3.58333333333333,0,28
"M",21,3.875,3.75,3.66666666666667,23,42
"M",22,3,2,3.41666666666667,0,22
"M",21,4.375,3.625,2.83333333333333,26,32
